日志时间,自运行起秒,账号,页面,阶段,键/标签,动作,结果,是否成功
2026-04-22 11:24:32,1987.354,无糖发饰供应链,qianchuan_home_cost_roi,field,整体消耗(元),extract:text,77.39  ← #app-container > div.app-content > div.content-body.no-left > div > div.data-overview-wrapper > div > div > div > div > div.card.stat_cost_for_roi2 > div > span > div > div.oc-statistic.oc-statistic-cursor.oc-statistic-bg-default.oc-statistic-block,是
2026-04-22 11:24:34,1988.820,无糖发饰供应链,qianchuan_home_cost_roi,field,净成交ROI,extract:text,44.89  ← #app-container > div.app-content > div.content-body.no-left > div > div.data-overview-wrapper > div > div > div > div > div.card.total_prepay_and_pay_order_roi2 > div > span > div > div.oc-statistic.oc-statistic-cursor.oc-statistic-bg-default.oc-statistic-block,是
2026-04-22 11:24:34,1989.585,无糖发饰供应链,qianchuan_home_cost_roi,field,净成交订单数,extract:text,710  ← #app-container > div.app-content > div.content-body.no-left > div > div.data-overview-wrapper > div > div > div > div > div.card.total_pay_order_count_for_roi2 > div > span > div > div.oc-statistic.oc-statistic-cursor.oc-statistic-bg-default.oc-statistic-block,是
2026-04-22 11:24:35,1990.447,小志饰品供应链,globalAccountLoop,nav,goto,open_url,https://fxg.jinritemai.com/ffa/mshop/homepage/index,是
2026-04-22 11:24:57,2012.141,小志饰品供应链,globalAccountLoop,account,switch,switchAccount,已切换店铺: 小志饰品供应链（CSS 流程）,是
2026-04-22 11:25:01,2015.704,小志饰品供应链,fxg_mshop_home,nav,goto,open_url,https://compass.jinritemai.com/shop,是
2026-04-22 11:25:12,2027.171,小志饰品供应链,fxg_mshop_home,field,经营概况整块文本,extract:text,"成交金额
¥41.09
昨日
¥84.19
同行基准
¥47.28
用户支付金额
¥31.64
昨日
¥54.97
同行基准
¥44.21
客单价
¥5.27
昨日
¥2.62
同行基准
¥9.9
成交订单数
16
昨日
21
同行顶尖
354
结算金额
¥14.97
昨日
¥72.02
同行基准
¥39.86
商品曝光人数
2,722
昨日
8,915
同行标杆
5,609
商品点击人数
111
昨日
366
同行标杆
209
成交人数
6
昨日
21
同行标杆
14
退款金额（退款时间）
¥26.12
昨日
¥11.99
同行基准
¥5.99
退款金额（支付时间）
¥26.12
昨日
¥11.99
同行基准
¥0
退款率（支付时间）
82.55%
昨日
21.81%
同行基准
0%
成交退款金额（退款时间）
¥26.12
昨日
¥12.17
同行基准
¥6.72
退款订单数（退款时间）
11
昨日
3
同行基准
1
退款订单数（支付时间）
11
昨日
3
同行基准
0
商品曝光-点击转化率（人数）
4.08%
昨日
4.11%
同行基准
4.41%
商品点击-成交转化率（人数）
5.41%
昨日
5.74%
同行基准
6.73%  ← #root > div.homepageWrapper-zxLmZT > div > dynamic-module-wrapper:nth-child(1) > div > div > div.coreContent-J7jCZG > div.businessDataWrap-LUgNmI > div:nth-child(1) > div > div.ecom-spin-nested-loading > div > div:nth-child(1)",是
2026-04-22 11:25:15,2030.011,小志饰品供应链,fxg_aftersale_fund_detail_bill,nav,goto,open_url,https://fxg.jinritemai.com/ffa/fxg-bill/fund-detail-bill,是
2026-04-22 11:25:21,2036.085,小志饰品供应链,fxg_aftersale_fund_detail_bill,interaction,fund_detail_date_range,dateRange,auxoCalendarPick: 已点选起止均为 2026-04-21,是
2026-04-22 11:25:26,2041.600,小志饰品供应链,fxg_aftersale_fund_detail_bill,interaction,fund_detail_click_generate_report,click,#rc-tabs-0-panel-FUND_DETAIL_BILL > div > div.auxo-pro-table.custom-style-gray.auxo-pro-table-combined > div.auxo-pro-table-wrapper > div > div.auxo-pro-table-list-toolbar > div > div.auxo-space.auxo-space-horizontal.auxo-space-align-center.auxo-pro-table-list-toolbar-right > div > div > div > button,是
