日志时间,自运行起秒,步骤耗时_ms,账号,页面,阶段,键/标签,动作,结果,是否成功
2026/4/24 7:13,826.068,292.01,甑维居家日用,pdd_promotion_overview,field,每笔净成交花费(元),extract:tableTotalByHeader,0.11  ← tableTotalByHeader:#page-container > div > div.OverviewInternal_contentWrapper__QeUQR > div > div.ReportOverview_wrap__oJSxK > div:nth-chil#col9 row=firstBodyRow hdr=每笔净成交花费,是
2026/4/24 7:13,826.447,378.76,甑维居家日用,pdd_cashier_bills_reconcile,nav,goto,open_url,https://mms.pinduoduo.com/cashier/finance/payment-bills,是
2026/4/24 7:13,834.015,7568.5,甑维居家日用,pdd_cashier_bills_reconcile,interaction,pdd_cashier_open_time_filter,click,xpath=//*[@id='root']/div/div[2]/div/div[1]/div/div[3]/div/div[2]/div[2]/div/div[1]/div/div/div[1]/div/div/div/div/div/div[1]/input,是
2026/4/24 7:13,837.058,3042.7,甑维居家日用,pdd_cashier_bills_reconcile,interaction,pdd_cashier_quick_yesterday,click,div[class*='RPR_quickPickerWrapper'] button:has-text('昨天'),是
2026/4/24 7:14,840.097,3039.17,甑维居家日用,pdd_cashier_bills_reconcile,interaction,pdd_cashier_expand_advanced,click,a:has-text('展开高级选项'),是
2026/4/24 7:14,841.281,1183.3,甑维居家日用,pdd_cashier_bills_reconcile,interaction,pdd_cashier_acct_type_技术服务费,click,"xpath=(//div[contains(@class,'Container_container')]//div[contains(@class,'TAB_outerWrapper')]//div[contains(@class,'TAB_content')]/div/div[1]/div//label[.//*[contains(@class,'CBX_textWrapper')][normalize-space()='技术服务费']])[1]",是
2026/4/24 7:14,843.764,2483.58,甑维居家日用,pdd_cashier_bills_reconcile,interaction,pdd_cashier_acct_type_多多进宝,click,"xpath=(//div[contains(@class,'Container_container')]//div[contains(@class,'TAB_outerWrapper')]//div[contains(@class,'TAB_content')]/div/div[1]/div//label[.//*[contains(@class,'CBX_textWrapper')][normalize-space()='多多进宝']])[1]",是
2026/4/24 7:14,844.958,1193.92,甑维居家日用,pdd_cashier_bills_reconcile,interaction,pdd_cashier_acct_type_扣款,click,"xpath=(//div[contains(@class,'Container_container')]//div[contains(@class,'TAB_outerWrapper')]//div[contains(@class,'TAB_content')]/div/div[1]/div//label[.//*[contains(@class,'CBX_textWrapper')][normalize-space()='扣款']])[1]",是
2026/4/24 7:14,847.407,2449.24,甑维居家日用,pdd_cashier_bills_reconcile,interaction,pdd_cashier_acct_type_其他服务,click,"xpath=(//div[contains(@class,'Container_container')]//div[contains(@class,'TAB_outerWrapper')]//div[contains(@class,'TAB_content')]/div/div[1]/div//label[.//*[contains(@class,'CBX_textWrapper')][normalize-space()='其他服务']])[1]",是
2026/4/24 7:14,848.589,1181.69,甑维居家日用,pdd_cashier_bills_reconcile,interaction,pdd_cashier_acct_type_其他,click,"xpath=(//div[contains(@class,'Container_container')]//div[contains(@class,'TAB_outerWrapper')]//div[contains(@class,'TAB_content')]/div/div[1]/div//label[.//*[contains(@class,'CBX_textWrapper')][normalize-space()='其他']])[1]",是
2026/4/24 7:14,851.085,2496.1,甑维居家日用,pdd_cashier_bills_reconcile,interaction,pdd_cashier_acct_type_分账,click,"xpath=(//div[contains(@class,'Container_container')]//div[contains(@class,'TAB_outerWrapper')]//div[contains(@class,'TAB_content')]/div/div[1]/div//label[.//*[contains(@class,'CBX_textWrapper')][normalize-space()='分账']])[1]",是
2026/4/24 7:14,852.274,1188.44,甑维居家日用,pdd_cashier_bills_reconcile,interaction,pdd_cashier_acct_type_服务消费,click,"xpath=(//div[contains(@class,'Container_container')]//div[contains(@class,'TAB_outerWrapper')]//div[contains(@class,'TAB_content')]/div/div[1]/div//label[.//*[contains(@class,'CBX_textWrapper')][normalize-space()='服务消费']])[1]",是
2026/4/24 7:14,854.774,2500.54,甑维居家日用,pdd_cashier_bills_reconcile,interaction,pdd_cashier_query,click,#root div[class*='Container_container'] button:has-text('查询'),是
2026/4/24 7:14,865.545,10770.46,甑维居家日用,pdd_cashier_bills_reconcile,interaction,export_pdd_cashier_balance,click+download,D:\Program Files (x86)\fff2_dianshang\output\拼多多数据提取_20260424_070000_e126c2c1\downloads\拼多多数据提取_1_2026-04-23\甑维居家日用_对账_2026-04-23_raw.zip,是
2026/4/24 7:14,869.411,3866.24,根少家的小铺83,globalAccountLoop,nav,goto,open_url,https://mms.pinduoduo.com/login/,是
2026/4/24 7:14,869.414,3.15,根少家的小铺83,globalAccountLoop,account,switch,switchAccount,globalAccountLoop：锚点无需 UI 切店（如拼多多：店铺轮次由 pageIds 内登录与业务页完成）,是
2026/4/24 7:14,869.843,429.15,根少家的小铺83,pdd_login_switch,nav,goto,skip_same_url,https://mms.pinduoduo.com/login/,是
2026/4/24 7:14,871.259,1415.56,根少家的小铺83,pdd_login_switch,interaction,pdd_login_tab_account,click,#root > div.pdd-app-skeleton > div > div > main > div > section.login-content > div > div > div > div.login-tab > div > div > div:nth-child(2),是
2026/4/24 7:14,871.931,672.5,根少家的小铺83,pdd_login_switch,interaction,pdd_input_username_current_account,input,#usernameId <- account_username,是
2026/4/24 7:14,872.499,567.58,根少家的小铺83,pdd_login_switch,interaction,pdd_click_login_submit,click,#root > div.pdd-app-skeleton > div > div > main > div > section.login-content > div > div > div > div.password-section > section > div > div > button,是
