日志时间,自运行起秒,账号,页面,阶段,键/标签,动作,结果,是否成功
2026-04-21 10:26:48,1544.359,森蝶发饰供应链,globalAccountLoop,account,switch,switchAccount,已切换店铺: 森蝶发饰供应链（CSS 流程）,是
2026-04-21 10:26:53,1548.988,森蝶发饰供应链,fxg_mshop_home,nav,goto,open_url,https://compass.jinritemai.com/shop,是
2026-04-21 10:27:04,1559.891,森蝶发饰供应链,fxg_mshop_home,field,经营概况整块文本,extract:text,"成交金额
¥1,019.27
昨日
¥4,269.99
同行基准
¥4,109
用户支付金额
¥946.46
昨日
¥3,960.31
同行基准
¥3,856.17
客单价
¥4.76
昨日
¥4.94
同行基准
¥20.47
成交订单数
211
昨日
848
同行基准
244
结算金额
¥972.85
昨日
¥4,001.77
同行基准
¥3,616.8
商品曝光人数
4.92
万
昨日
19.29万
同行标杆
19.87万
商品点击人数
2,191
昨日
8,196
同行标杆
6,495
成交人数
199
昨日
802
同行标杆
732
退款金额（退款时间）
¥79.75
昨日
¥365.39
同行顶尖
¥0
退款金额（支付时间）
¥41.69
昨日
¥248.66
同行顶尖
¥0
退款率（支付时间）
4.4%
昨日
6.28%
同行顶尖
0%
成交退款金额（退款时间）
¥87.37
昨日
¥388.79
同行顶尖
¥0
退款订单数（退款时间）
25
昨日
93
同行标杆
12
退款订单数（支付时间）
14
昨日
59
同行标杆
3
商品曝光-点击转化率（人数）
4.46%
昨日
4.25%
同行基准
5.96%
商品点击-成交转化率（人数）
9.08%
昨日
9.79%
同行基准
12.04%  ← #root > div.homepageWrapper-zxLmZT > div > dynamic-module-wrapper:nth-child(1) > div > div > div.coreContent-J7jCZG > div.businessDataWrap-LUgNmI > div:nth-child(1) > div > div.ecom-spin-nested-loading > div > div:nth-child(1)",是
2026-04-21 10:27:06,1562.013,森蝶发饰供应链,fxg_aftersale_fund_detail_bill,nav,goto,open_url,https://fxg.jinritemai.com/ffa/fxg-bill/fund-detail-bill,是
2026-04-21 10:27:12,1568.065,森蝶发饰供应链,fxg_aftersale_fund_detail_bill,interaction,fund_detail_date_range,dateRange,auxoCalendarPick: 已点选起止均为 2026-04-20,是
2026-04-21 10:27:18,1573.633,森蝶发饰供应链,fxg_aftersale_fund_detail_bill,interaction,fund_detail_click_generate_report,click,#rc-tabs-0-panel-FUND_DETAIL_BILL > div > div.auxo-pro-table.custom-style-gray.auxo-pro-table-combined > div.auxo-pro-table-wrapper > div > div.auxo-pro-table-list-toolbar > div > div.auxo-space.auxo-space-horizontal.auxo-space-align-center.auxo-pro-table-list-toolbar-right > div > div > div > button,是
2026-04-21 10:27:19,1574.717,森蝶发饰供应链,fxg_aftersale_fund_detail_bill,interaction,confirm_fund_detail_generate,click,div.auxo-popover-inner div.auxo-popover-buttons button.auxo-btn-primary.auxo-btn-sm,是
2026-04-21 10:27:21,1577.444,森蝶发饰供应链,fxg_bill_history_report,nav,goto,skip_same_url,https://fxg.jinritemai.com/ffa/fxg-bill/history-report,是
2026-04-21 10:27:25,1580.788,森蝶发饰供应链,fxg_bill_history_report,interaction,export_bill_history_top,click+download,D:\Program Files (x86)\fff2_dianshang\output\抖店数据提取_20260421_100103_d80a469a\downloads\森蝶发饰供应链_DL202604211027209845769217.csv,是
2026-04-21 10:27:28,1584.275,森蝶发饰供应链,fxg_aftersale_order_list_export,nav,goto,open_url,https://fxg.jinritemai.com/ffa/merchant-aftersale-workbench/aftersale/list,是
