日志时间,自运行起秒,账号,页面,阶段,键/标签,动作,结果,是否成功
2026-04-21 07:22:53,1361.790,小胡的网店3621,pdd_aftersale_export,nav,goto,open_url,https://mms.pinduoduo.com/print/after-sale-list,是
2026-04-21 07:23:01,1368.963,小胡的网店3621,pdd_aftersale_export,interaction,pdd_close_print_ad_modal,click,body > div.MDL_outerWrapper_5-174-0.MDL_modal_5-174-0.MDL_showCloseIcon_5-174-0 > div > div > div.MmsUiPosterModal___closeIcon___3pAxJ2-149-0-feature30424-1 > div,是
2026-04-21 07:23:02,1370.403,小胡的网店3621,pdd_aftersale_export,interaction,pdd_aftersale_time_type,selectFilter,已选择「售后申请时间」（候选: 售后申请时间）,是
2026-04-21 07:23:02,1370.871,小胡的网店3621,pdd_aftersale_export,interaction,pdd_aftersale_query,click,button:has-text('查询'),是
2026-04-21 07:23:04,1372.370,小胡的网店3621,pdd_aftersale_export,interaction,pdd_aftersale_open_download_menu,click,button:has-text('下载数据'),是
2026-04-21 07:23:07,1375.538,小胡的网店3621,pdd_aftersale_export,interaction,export_pdd_aftersale_query_orders,click+download,D:\Program Files (x86)\fff2_dianshang\output\crawl\pdd_default_20260421_070011\拼多多数据提取_1_2026-04-20\小胡的网店3621_售后单_raw_2026-04-20.xlsx,是
2026-04-21 07:23:10,1378.348,小胡的网店3621,pdd_trade_data_operation,nav,goto,open_url,https://mms.pinduoduo.com/sycm/stores_data/operation?dateFlag=0,是
2026-04-21 07:23:16,1384.531,小胡的网店3621,pdd_trade_data_operation,interaction,pdd_trade_scroll_to_bottom_before_page_size,scroll,window:end,是
2026-04-21 07:23:29,1397.066,小胡的网店3621,pdd_trade_data_operation,interaction,pdd_trade_table_page_size_open,click,#mf-mms-sycm-container div[class*='select']:has-text('10'),是
2026-04-21 07:23:33,1401.525,小胡的网店3621,pdd_trade_data_operation,interaction,pdd_trade_table_page_size_50,click,li[role='option']:has-text('50'),是
2026-04-21 07:24:12,1440.554,小胡的网店3621,pdd_trade_data_operation,field,成交金额,extract:tableColumnAgg,3054.15  ← tableColumnAgg:#mf-mms-sycm-container > div > div > div > div:nth-child(5) > div.TB_outerWrapper_5-158-0.TB_bordered_5-158-0.TB_notTree#col1 n=32 p=1 sum,是
2026-04-21 07:24:48,1476.865,小胡的网店3621,pdd_trade_data_operation,field,成交订单数,extract:tableColumnAgg,954  ← tableColumnAgg:#mf-mms-sycm-container > div > div > div > div:nth-child(5) > div.TB_outerWrapper_5-158-0.TB_bordered_5-158-0.TB_notTree#col2 n=32 p=1 sum,是
2026-04-21 07:25:25,1513.182,小胡的网店3621,pdd_trade_data_operation,field,成交买家数,extract:tableColumnAgg,929.00  ← tableColumnAgg:#mf-mms-sycm-container > div > div > div > div:nth-child(5) > div.TB_outerWrapper_5-158-0.TB_bordered_5-158-0.TB_notTree#col3 n=32 p=1 sum,是
2026-04-21 07:25:25,1513.438,小胡的网店3621,pdd_trade_data_operation,field,客单价,extract:computedDivide,3.29  ← computedDivide:pdd_trade_amount/pdd_trade_buyer_count,是
2026-04-21 07:25:25,1513.830,小胡的网店3621,pdd_promotion_overview,nav,goto,open_url,https://yingxiao.pinduoduo.com/goods/report/promotion/overView?beginDate=2026-04-20&endDate=2026-04-20&msfrom=mms_sidenav,是
2026-04-21 07:25:30,1518.220,小胡的网店3621,pdd_promotion_overview,interaction,pdd_overview_switch_to_table,click,#page-container div[class*='TabRow_radioWrap'] label:has-text('表格'),是
