日志时间,自运行起秒,步骤耗时_ms,账号,页面,阶段,键/标签,动作,结果,是否成功
2026-04-24 13:11:06,844.472,809.07,女人坊饰品发饰,qianchuan_home_cost_roi,field,净成交ROI,extract:text,"整体支付ROI
--
--  ← #app-container > div.app-content > div.content-body.no-left > div > div.data-overview-wrapper > div > div > div > div > div.card.total_prepay_and_pay_order_roi2 > div > span > div > div.oc-statistic.oc-statistic-cursor.oc-statistic-bg-default.oc-statistic-block",是
2026-04-24 13:11:06,844.861,389.57,女人坊饰品发饰,qianchuan_home_cost_roi,field,净成交订单数,extract:text,0  ← #app-container > div.app-content > div.content-body.no-left > div > div.data-overview-wrapper > div > div > div > div > div.card.total_pay_order_count_for_roi2 > div > span > div > div.oc-statistic.oc-statistic-cursor.oc-statistic-bg-default.oc-statistic-block,是
2026-04-24 13:11:07,845.768,906.90,芙瑶优选,globalAccountLoop,nav,goto,open_url,https://fxg.jinritemai.com/ffa/mshop/homepage/index,是
2026-04-24 13:11:21,859.477,13709.12,芙瑶优选,globalAccountLoop,account,switch,switchAccount,已切换店铺: 芙瑶优选（CSS 流程）,是
2026-04-24 13:11:24,862.525,3047.49,芙瑶优选,fxg_mshop_home,nav,goto,open_url,https://compass.jinritemai.com/shop,是
2026-04-24 13:12:01,899.134,36609.33,芙瑶优选,fxg_mshop_home,interaction,fxg_home_close_desktop_ad,click,"Locator.wait_for: Timeout 3500ms exceeded.
Call log:
  - waiting for locator(""div[role='dialog'] .auxo-modal-close-x"").first to be visible
",否
2026-04-24 13:12:04,902.055,2920.70,芙瑶优选,fxg_mshop_home,field,经营概况整块文本,extract:text,"成交金额
¥3,855.77
昨日
¥9,288.05
同行基准
¥4,674.33
用户支付金额
¥2,974.63
昨日
¥6,625.20
同行基准
¥4,404.66
客单价
¥4.02
昨日
¥3.58
同行基准
¥21.13
成交订单数
793
昨日
1,976
同行标杆
921
结算金额
¥3,560.36
昨日
¥8,697.57
同行基准
¥4,157.42
商品曝光人数
9.47
万
昨日
24.19万
同行标杆
22.28万
商品点击人数
6,550
昨日
1.71万
同行标杆
7,076
成交人数
740
昨日
1,849
同行标杆
777
退款金额（退款时间）
¥364.66
昨日
¥620.11
同行标杆
¥287.49
退款金额（支付时间）
¥276.46
昨日
¥482.59
同行标杆
¥128.3
退款率（支付时间）
9.29%
昨日
7.28%
同行标杆
5.58%
成交退款金额（退款时间）
¥395.73
昨日
¥737.13
同行标杆
¥299.74
退款订单数（退款时间）
79
昨日
162
同行基准
58
退款订单数（支付时间）
56
昨日
126
同行基准
33
商品曝光-点击转化率（人数）
6.92%
昨日
7.05%
同行标杆
24.34%
商品点击-成交转化率（人数）
11.3%
昨日
10.84%
同行基准
12.44%  ← #root > div.homepageWrapper-zxLmZT > div > dynamic-module-wrapper:nth-child(1) > div > div > div.coreContent-J7jCZG > div.businessDataWrap-LUgNmI > div:nth-child(1) > div > div.ecom-spin-nested-loading > div > div:nth-child(1)",是
2026-04-24 13:12:05,903.648,1592.92,芙瑶优选,fxg_aftersale_fund_detail_bill,nav,goto,open_url,https://fxg.jinritemai.com/ffa/fxg-bill/fund-detail-bill,是
2026-04-24 13:12:13,911.030,7382.36,芙瑶优选,fxg_aftersale_fund_detail_bill,interaction,fund_detail_date_range,dateRange,auxoCalendarPick: 已点选起止均为 2026-04-23,是
2026-04-24 13:12:18,916.502,5472.06,芙瑶优选,fxg_aftersale_fund_detail_bill,interaction,fund_detail_click_generate_report,click,#rc-tabs-0-panel-FUND_DETAIL_BILL > div > div.auxo-pro-table.custom-style-gray.auxo-pro-table-combined > div.auxo-pro-table-wrapper > div > div.auxo-pro-table-list-toolbar > div > div.auxo-space.auxo-space-horizontal.auxo-space-align-center.auxo-pro-table-list-toolbar-right > div > div > div > button,是
